year_month,Negative,Neutral,Positive,total,net_sentiment_index,date
2011-02,1,0,0,1,-1.0,2011-02-01
2011-08,1,0,0,1,-1.0,2011-08-01
2011-12,0,0,1,1,1.0,2011-12-01
2012-03,1,0,0,1,-1.0,2012-03-01
2012-08,1,0,0,1,-1.0,2012-08-01
2012-11,1,0,0,1,-1.0,2012-11-01
2013-02,0,1,0,1,0.0,2013-02-01
2013-08,0,1,0,1,0.0,2013-08-01
2014-02,1,1,0,2,-0.5,2014-02-01
2014-06,1,0,0,1,-1.0,2014-06-01
2014-07,0,0,1,1,1.0,2014-07-01
2014-08,0,0,1,1,1.0,2014-08-01
2014-12,0,1,0,1,0.0,2014-12-01
2015-02,1,0,0,1,-1.0,2015-02-01
2015-07,2,0,0,2,-1.0,2015-07-01
2015-12,1,0,0,1,-1.0,2015-12-01
2016-02,1,1,0,2,-0.5,2016-02-01
2016-05,1,0,1,2,0.0,2016-05-01
2016-06,1,0,1,2,0.0,2016-06-01
2017-04,1,0,0,1,-1.0,2017-04-01
2017-05,1,0,0,1,-1.0,2017-05-01
2017-09,1,0,0,1,-1.0,2017-09-01
2017-12,1,0,0,1,-1.0,2017-12-01
2018-01,1,0,0,1,-1.0,2018-01-01
2018-02,4,0,0,4,-1.0,2018-02-01
2018-03,1,0,0,1,-1.0,2018-03-01
2018-04,0,0,1,1,1.0,2018-04-01
2018-06,0,1,0,1,0.0,2018-06-01
2018-10,0,1,1,2,0.5,2018-10-01
2018-11,1,0,0,1,-1.0,2018-11-01
2018-12,1,0,0,1,-1.0,2018-12-01
2019-04,1,0,1,2,0.0,2019-04-01
2019-06,0,0,1,1,1.0,2019-06-01
2019-07,1,0,0,1,-1.0,2019-07-01
2019-10,0,1,0,1,0.0,2019-10-01
2019-12,1,0,0,1,-1.0,2019-12-01
2020-03,1,0,0,1,-1.0,2020-03-01
2020-06,1,0,0,1,-1.0,2020-06-01
2020-09,0,0,1,1,1.0,2020-09-01
2020-10,4,0,0,4,-1.0,2020-10-01
2020-12,0,0,1,1,1.0,2020-12-01
2021-04,0,1,0,1,0.0,2021-04-01
2021-06,1,0,0,1,-1.0,2021-06-01
2021-07,1,2,0,3,-0.3333,2021-07-01
2021-09,0,1,0,1,0.0,2021-09-01
2021-10,0,2,0,2,0.0,2021-10-01
2021-11,1,0,0,1,-1.0,2021-11-01
2021-12,1,0,0,1,-1.0,2021-12-01
2022-01,0,0,1,1,1.0,2022-01-01
2022-02,1,1,0,2,-0.5,2022-02-01
2022-03,2,1,0,3,-0.6667,2022-03-01
2022-04,4,0,1,5,-0.6,2022-04-01
2022-05,3,0,2,5,-0.2,2022-05-01
2022-06,0,1,0,1,0.0,2022-06-01
2022-07,1,0,1,2,0.0,2022-07-01
2022-08,1,0,0,1,-1.0,2022-08-01
2022-09,1,1,0,2,-0.5,2022-09-01
2022-10,2,1,0,3,-0.6667,2022-10-01
2023-01,1,1,0,2,-0.5,2023-01-01
2023-02,3,1,0,4,-0.75,2023-02-01
2023-03,3,3,0,6,-0.5,2023-03-01
2023-04,1,1,0,2,-0.5,2023-04-01
2023-05,4,3,1,8,-0.375,2023-05-01
2023-07,1,1,0,2,-0.5,2023-07-01
2023-08,1,2,1,4,0.0,2023-08-01
2023-09,3,0,1,4,-0.5,2023-09-01
2023-10,1,0,1,2,0.0,2023-10-01
2023-11,1,1,1,3,0.0,2023-11-01
2023-12,2,1,0,3,-0.6667,2023-12-01
2024-03,1,0,0,1,-1.0,2024-03-01
2024-07,1,0,0,1,-1.0,2024-07-01
2024-08,1,1,1,3,0.0,2024-08-01
2024-09,2,0,0,2,-1.0,2024-09-01
2024-10,4,0,0,4,-1.0,2024-10-01
2024-11,3,0,2,5,-0.2,2024-11-01
2024-12,3,0,0,3,-1.0,2024-12-01
2025-01,2,1,0,3,-0.6667,2025-01-01
2025-02,3,0,0,3,-1.0,2025-02-01
2025-03,1,0,0,1,-1.0,2025-03-01
2025-04,3,0,0,3,-1.0,2025-04-01
2025-05,1,0,0,1,-1.0,2025-05-01
2025-07,0,0,1,1,1.0,2025-07-01
2025-08,1,0,0,1,-1.0,2025-08-01
2025-09,3,0,2,5,-0.2,2025-09-01
2025-10,3,0,0,3,-1.0,2025-10-01
2025-11,0,1,0,1,0.0,2025-11-01
2025-12,1,0,0,1,-1.0,2025-12-01
2026-01,2,1,1,4,-0.25,2026-01-01
2026-02,4,0,0,4,-1.0,2026-02-01
2026-03,2,0,0,2,-1.0,2026-03-01
2026-05,1,0,1,2,0.0,2026-05-01
2026-06,2,0,3,5,0.2,2026-06-01
2026-08,0,0,1,1,1.0,2026-08-01
2026-09,13,1,1,15,-0.8,2026-09-01
