location,post_count,total_engagement
"Los Angeles, USA",400,1603928
"Munich, Germany",389,1555610
"Barcelona, Spain",372,1528127
"Shanghai, China",382,1522852
"Dubai, UAE",351,1428959
"Rio de Janeiro, Brazil",360,1415136
"Melbourne, Australia",346,1412196
"Houston, USA",355,1400008
"Mumbai, India",354,1376637
"Osaka, Japan",331,1372085
"London, UK",334,1352812
"Milan, Italy",339,1345355
"New York, USA",325,1325029
"Johannesburg, South Africa",337,1322131
"Chicago, USA",322,1297999
"Beijing, China",315,1281335
"São Paulo, Brazil",325,1274137
"Paris, France",314,1272108
"Berlin, Germany",308,1242015
Singapore,297,1200424
"Tokyo, Japan",293,1187546
"Toronto, Canada",290,1164704
"Manchester, UK",283,1128627
"Vancouver, Canada",287,1117980
"Rome, Italy",284,1102222
"Mexico City, Mexico",271,1101899
"Cairo, Egypt",264,1077877
"Delhi, India",254,1024042
"Madrid, Spain",246,983352
"Seoul, South Korea",243,944756
"Lyon, France",248,934458
"Lagos, Nigeria",193,753250
"Sydney, Australia",174,714642
